Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
A 1589 3d4c 4ce0
A 158a 3d3c 4cdc
A 158b 3d44 4cdc
A 158c 3d54 4cdc
A 158d 3d4c 4ce0
A 158e 3d50 4cdc
A 158f 3d6c 4cdc
A 1590 3d80 4ce0
A 1591 3da0 4cdc
A 1592 3dc0 4cd4
A 1593 3de8 4cd8
A 1594 3df4 4ce4
A 1595 3de8 4ce0
A 1596 3dc8 4cdc
A 1597 3d8c 4ce0
A 1598 3d20 4ce0
A 1599 3d90 4cdc
A 159a 3de8 4ce0
A 159b 3de8 4ce0
A 159c 3dbc 4cd8
A 159d 3d94 4cdc
A 159e 3d7c 4ce4
A 159f 3d7c 4ce0
A 15a0 3d94 4ce0
A 15a1 3d6c 4cdc
A 15a2 3ccc 4cdc
A 15a3 3c90 4ce0
A 15a4 3c88 4ce0
A 15a5 3d20 4cd8
A 15a6 3d60 4cd8
A 15a7 3d94 4ce0
A 15a8 3d94 4ce0
A 15a9 3da4 4ce0
A 15aa 3dac 4cdc
A 15ab 3d30 4ce0
A 15ac 3d90 4ce0
A 15ad 3d84 4cdc
A 15ae 3d64 4ce0
A 15af 3d8c 4ce4
A 15b0 3d70 4cdc
A 15b1 3d64 4cd8
A 15b2 3d68 4cdc
A 15b3 3d78 4ce4
A 15b4 3d74 4ce8
A 15b5 3d6c 4ce0
A 15b6 3d74 4ce0
A 15b7 3d74 4cdc
A 15b8 3d84 4ce0
A 15b9 3d70 4ce4
A 15ba 3d6c 4cdc
A 15bb 3d70 4cd8
A 15bc 3d94 4ce0
A 15bd 3d88 4ce4
A 15be 3d7c 4ce0
A 15bf 3d60 4cdc
A 15c0 3d70 4cd8
A 15c1 3d60 4ce0
A 15c2 3d6c 4ce0
A 15c3 3d7c 4ce4
A 15c4 3d60 4cdc
A 15c5 3d74 4cd8
A 15c6 3d68 4cd8
A 15c7 3d58 4ce4
A 15c8 3d38 4ce0
A 15c9 3d60 4ce0
A 15ca 3d44 4ce4
A 15cb 3d54 4ce0
A 15cc 3d60 4ce4
A 15cd 3d6c 4cdc
A 15ce 3d58 4ce0
A 15cf 3d48 4ce0
A 15d0 3d50 4cd8
A 15d1 3d6c 4cd8
A 15d2 3d9c 4ce4
A 15d3 3dac 4ce4
A 15d4 3d90 4cdc
A 15d5 3d78 4ce4
A 15d6 3d28 4ce0
A 15d7 3d00 4ce4
A 15d8 3cec 4ce4
A 15d9 3cf8 4ce0
A 15da 3d28 4cd8
A 15db 3d70 4ce0
A 15dc 3d80 4ce4
A 15dd 3d6c 4ce0
A 15de 3d6c 4ce0
A 15df 3d60 4ce0
A 15e0 3d5c 4ce0
A 15e1 3d74 4ce4
A 15e2 3d90 4ce4
A 15e3 3d78 4cdc
A 15e4 3d64 4cdc
A 15e5 3d70 4cdc
A 15e6 3d88 4cdc
A 15e7 3d80 4ce0
A 15e8 3dac 4cdc
A 15e9 3da0 4cdc
A 15ea 3d94 4ce8
A 15eb 3d9c 4ce8
A 15ec 3dbc 4ce4
A 15ed 3dc0 4ce0
A 15ee 3db4 4cdc
A 15ef 3dac 4cd4
A 15f0 3dd0 4cdc
A 15f1 3e00 4ce4
A 15f2 3df4 4ce4
A 15f3 3df8 4ce0
A 15f4 3de8 4ce0
A 15f5 3e04 4ce0
A 15f6 3dec 4cdc
A 15f7 3de4 4ce4
A 15f8 3de4 4ce0
A 15f9 3dc8 4cd8
A 15fa 3de4 4cdc
A 15fb 3db4 4ce4
A 15fc 3dd8 4ce0
A 15fd 3df8 4ce0
A 15fe 3de0 4cdc
A 15ff 3ddc 4ce0
A 1600 3de4 4ce4
A 1601 3de0 4ce4
T 1601 1d24 612c
D 1601 0860 000c
A 1602 3ddc 4ce0
A 1603 3df4 4cd8
A 1604 3e00 4ce0
A 1605 3de4 4ce0
A 1606 3de8 4ce4
A 1607 3ddc 4ce0
A 1608 3dd8 4ce0
A 1609 3de8 4ce0
A 160a 3e00 4ce0
A 160b 3e00 4ce0
A 160c 3df4 4ce4
A 160d 3dfc 4ce0
A 160e 3df8 4cd4
A 160f 3e00 4cdc
A 1610 3e08 4ce4
A 1611 3e14 4ce4
A 1612 3e0c 4ce0
A 1613 3e0c 4ce0
A 1614 3df4 4cdc
A 1615 3df0 4ce4
A 1616 3e18 4ce0
A 1617 3e1c 4ce0
A 1618 3e2c 4cd8
A 1619 3e1c 4cdc
A 161a 3e24 4ce4
A 161b 3e28 4ce4
A 161c 3e18 4cdc
A 161d 3df8 4ce0
A 161e 3dd0 4ce4
A 161f 3d38 4ce0
A 1620 3d54 4ce4
A 1621 3d84 4ce0
A 1622 3dbc 4cd8
A 1623 3de8 4ce0
A 1624 3dcc 4ce0
A 1625 3de0 4ce4
A 1626 3e3c 4ce0
A 1627 3e0c 4cdc
A 1628 3db4 4ce4
A 1629 3d68 4ce0
A 162a 3d68 4ce4
A 162b 3d74 4ce0
A 162c 3d64 4ce0
A 162d 3de4 4cd8
A 162e 3dc8 4cdc
A 162f 3dc0 4ce8
A 1630 3d90 4ce0
A 1631 3d7c 4ce0
A 1632 3d8c 4ce0
A 1633 3da4 4ce0
A 1634 3dc8 4ce4
A 1635 3dcc 4ce4
A 1636 3db0 4ce0
A 1637 3dac 4cdc
A 1638 3dfc 4cd8
A 1639 3da0 4ce4
A 163a 3d74 4ce0
A 163b 3d98 4ce0
A 163c 3db4 4cdc
A 163d 3da4 4ce0
A 163e 3d98 4ce0
A 163f 3da4 4ce4
A 1640 3da0 4ce4
A 1641 3dc0 4cdc
A 1642 3da8 4ce0
A 1643 3dbc 4ce0
A 1644 3dc8 4ce4
A 1645 3da8 4ce0
A 1646 3da4 4ce0
A 1647 3d94 4ce0
A 1648 3da4 4ce8
A 1649 3dbc 4ce0
A 164a 3dc4 4ce0
A 164b 3db8 4ce0
A 164c 3dc8 4cd4
A 164d 3dec 4cdc
A 164e 3e0c 4ce4
A 164f 3e04 4ce8
A 1650 3dfc 4ce0
A 1651 3dc8 4ce0
A 1652 3dbc 4ce0
A 1653 3d70 4ce0
A 1654 3d20 4ce8
A 1655 3d9c 4ce0
A 1656 3dac 4cdc
A 1657 3dc8 4ce0
A 1658 3dbc 4ce4
A 1659 3dcc 4ce0
A 165a 3dc4 4ce0
A 165b 3dbc 4ce0
A 165c 3dd4 4ce0
A 165d 3df0 4ce4
A 165e 3df0 4ce0
A 165f 3de4 4ce0
A 1660 3dc8 4cdc
A 1661 3da8 4cd8
A 1662 3da4 4ce0
A 1663 3d84 4ce4
A 1664 3d80 4ce0
A 1665 3d68 4cdc
A 1666 3d64 4ce0
A 1667 3d68 4ce4
A 1668 3d94 4ce4
A 1669 3d6c 4ce4
A 166a 3d94 4cdc
A 166b 3d90 4cd8
A 166c 3d9c 4cdc
A 166d 3d94 4ce0
A 166e 3da4 4ce8
A 166f 3dcc 4ce0
A 1670 3dcc 4ce0
A 1671 3dd8 4ce0
A 1672 3de4 4ce0
A 1673 3dfc 4ce4
A 1674 3e0c 4ce0
A 1675 3df8 4cd8
A 1676 3dec 4cdc
A 1677 3dec 4ce4
A 1678 3df0 4ce4
A 1679 3dcc 4ce4
A 167a 3dc8 4cdc
A 167b 3db4 4cdc
A 167c 3dc8 4ce4
A 167d 3dc4 4ce4
A 167e 3db8 4ce0
A 167f 3db8 4cdc
A 1680 3dc0 4cdc
A 1681 3db4 4ce0
T 1681 1d20 612c
D 1681 0864 0008
A 1682 3db0 4ce4
A 1683 3dc4 4ce0
A 1684 3dbc 4cdc
A 1685 3db8 4ce0
A 1686 3dd0 4ce4
A 1687 3ddc 4ce0
A 1688 3dd0 4ce0
A 1689 3dcc 4cdc
A 168a 3dc4 4cd4
A 168b 3dbc 4cdc
A 168c 3dc4 4ce0
A 168d 3db8 4ce0
A 168e 3db8 4cdc
A 168f 3dc0 4ce0
A 1690 3db0 4ce0
A 1691 3dc0 4cdc
A 1692 3dac 4ce4
A 1693 3de0 4cdc
A 1694 3db8 4cd8
A 1695 3dc4 4ce0
A 1696 3dc4 4ce8
A 1697 3dd0 4ce0
A 1698 3dbc 4ce0
A 1699 3db4 4cdc
A 169a 3dc4 4ce0
A 169b 3dcc 4ce4
A 169c 3dd0 4ce4
A 169d 3dd8 4cdc
A 169e 3dcc 4ce0
A 169f 3dc8 4cdc
A 16a0 3dc8 4ce0
A 16a1 3ddc 4ce0
A 16a2 3dc0 4ce0
A 16a3 3da8 4cdc
A 16a4 3dc4 4ce4
A 16a5 3dd8 4ce4
A 16a6 3dd8 4ce4
A 16a7 3dbc 4ce0
A 16a8 3dc0 4cdc
A 16a9 3dc4 4cd4
A 16aa 3dcc 4cd8
A 16ab 3dc8 4cdc
A 16ac 3dd4 4ce4
A 16ad 3dd4 4ce0
A 16ae 3dcc 4ce0
A 16af 3dbc 4ce0
A 16b0 3dd8 4ce0
A 16b1 3dd4 4ce4
A 16b2 3db8 4ce0
A 16b3 3dcc 4cd8
A 16b4 3dc8 4cd8
A 16b5 3dc8 4ce4
A 16b6 3dd8 4ce0
A 16b7 3dc8 4ce0
A 16b8 3dbc 4cdc
A 16b9 3dc0 4ce4
A 16ba 3db8 4ce4
A 16bb 3dcc 4ce0
A 16bc 3dc8 4cdc
A 16bd 3dc0 4ce4
A 16be 3dc4 4cdc
A 16bf 3dd0 4cdc
A 16c0 3dc8 4cdc
A 16c1 3dd0 4cdc
A 16c2 3dc4 4cdc
A 16c3 3db4 4ce0
A 16c4 3db8 4ce4
A 16c5 3dc0 4ce0
A 16c6 3dbc 4ce4
A 16c7 3dc0 4cdc
A 16c8 3dcc 4cd4
A 16c9 3dc8 4ce0
A 16ca 3dc4 4ce0
A 16cb 3dc4 4ce4
A 16cc 3dc0 4ce4
A 16cd 3dc8 4ce0
A 16ce 3d9c 4ce4
A 16cf 3dc4 4ce0
A 16d0 3db4 4ce4
A 16d1 3db8 4ce0
A 16d2 3db8 4cd8
A 16d3 3db8 4ce0
A 16d4 3db4 4ce4
A 16d5 3dc0 4ce0
A 16d6 3dc4 4cdc
A 16d7 3dc8 4ce0
A 16d8 3dc4 4ce0
A 16d9 3dc0 4ce0
A 16da 3dcc 4ce0
A 16db 3dbc 4cdc
A 16dc 3dc4 4cdc
A 16dd 3dc4 4cdc
A 16de 3ddc 4ce4
A 16df 3dd8 4ce4
A 16e0 3dc4 4ce0
A 16e1 3dc0 4cd8
A 16e2 3da4 4ce0
A 16e3 3dd0 4ce4
A 16e4 3db4 4cdc
A 16e5 3dc0 4ce4
A 16e6 3da0 4cdc
A 16e7 3dc4 4cd8
A 16e8 3dd0 4cd8
A 16e9 3dc4 4ce0
A 16ea 3dcc 4ce0
A 16eb 3dc0 4ce0
A 16ec 3db0 4ce0
A 16ed 3dcc 4ce0
A 16ee 3dc0 4ce4
A 16ef 3dc8 4ce4
A 16f0 3db0 4ce0
A 16f1 3dd8 4cd4
A 16f2 3dc4 4ce0
A 16f3 3dcc 4ce4
A 16f4 3dc0 4ce4
A 16f5 3db0 4cdc
A 16f6 3db4 4cdc
A 16f7 3db8 4ce0
A 16f8 3dbc 4ce4
A 16f9 3dc0 4cdc
A 16fa 3dc4 4cdc
A 16fb 3dd4 4cdc
A 16fc 3dcc 4cdc
A 16fd 3dc0 4ce0
A 16fe 3db8 4ce0
A 16ff 3ddc 4ce0
A 1700 3dd8 4ce0
A 1701 3db4 4ce4
T 1701 1d24 612c
D 1701 0864 0008
A 1702 3dc4 4ce0
A 1703 3dc0 4ce0
A 1704 3db8 4ce0
A 1705 3ddc 4cdc
A 1706 3dc0 4cd4
A 1707 3dd8 4cdc
A 1708 3ddc 4ce4
A 1709 3dd0 4ce4
A 170a 3dc8 4ce0
A 170b 3dc0 4cdc
A 170c 3dcc 4cdc
A 170d 3dc4 4ce0
A 170e 3dd8 4ce4
A 170f 3dc4 4cdc
A 1710 3db8 4cd8
A 1711 3dc4 4cdc
A 1712 3dcc 4ce4
A 1713 3dc8 4ce4
A 1714 3dc8 4ce0
A 1715 3db8 4ce0
A 1716 3dd4 4ce0
A 1717 3dc0 4ce0
A 1718 3dcc 4ce4
A 1719 3dd0 4cdc
A 171a 3de4 4cd8
A 171b 3dc4 4cd4
A 171c 3dd0 4cdc
A 171d 3dc8 4ce0
A 171e 3db4 4cdc
A 171f 3db8 4ce0
A 1720 3dbc 4ce0
A 1721 3db0 4ce0
A 1722 3dbc 4cdc
A 1723 3dc0 4cdc
A 1724 3dc8 4cdc
A 1725 3dc4 4cd8
A 1726 3dc4 4cd8
A 1727 3dc0 4ce4
A 1728 3dd0 4ce0
A 1729 3dd0 4ce0
A 172a 3ddc 4cdc
A 172b 3dc4 4cdc
A 172c 3dc8 4ce0
A 172d 3dcc 4ce4
A 172e 3dc8 4ce0
A 172f 3dbc 4cdc
A 1730 3dcc 4cdc
A 1731 3dc4 4ce4
A 1732 3dc0 4cdc
A 1733 3dcc 4cdc
A 1734 3dc8 4cd8
A 1735 3db4 4ce4
A 1736 3dc0 4cdc
A 1737 3dd4 4ce4
A 1738 3dc4 4ce0
A 1739 3ddc 4cd8
A 173a 3dd0 4cd8
A 173b 3dc0 4ce0
A 173c 3dc8 4ce4
A 173d 3dc8 4ce0
A 173e 3dc8 4ce0
A 173f 3dc0 4ce0
A 1740 3ddc 4cdc
A 1741 3dc8 4cdc
A 1742 3dcc 4ce0
A 1743 3dc0 4cdc
A 1744 3dd0 4cd8
A 1745 3dcc 4cdc
A 1746 3dcc 4ce4
A 1747 3dd0 4ce0
A 1748 3dcc 4ce0
A 1749 3dd0 4ce0
A 174a 3dc4 4cdc
A 174b 3dc8 4ce0
A 174c 3dbc 4ce4
A 174d 3dcc 4ce0
A 174e 3dcc 4cd8
A 174f 3dcc 4cdc
A 1750 3dcc 4ce4
A 1751 3dc8 4cdc
A 1752 3dd4 4cdc
A 1753 3dc0 4cdc
A 1754 3ddc 4ce0
A 1755 3dc4 4ce4
A 1756 3dc8 4ce4
A 1757 3dc4 4cdc
A 1758 3dc8 4cd4
A 1759 3dd0 4cdc
A 175a 3dd4 4cd8
A 175b 3dcc 4ce0
A 175c 3dc0 4ce0
A 175d 3dcc 4cdc
A 175e 3db8 4ce4
A 175f 3dc4 4ce0
A 1760 3db8 4ce0
A 1761 3ddc 4ce4
A 1762 3dd0 4cdc
A 1763 3dc4 4cd4
A 1764 3dcc 4cdc
A 1765 3dd0 4ce4
A 1766 3dcc 4ce8
A 1767 3db0 4ce0
A 1768 3db4 4cdc
A 1769 3dc8 4cdc
A 176a 3de4 4ce0
A 176b 3dcc 4ce0
A 176c 3dd4 4ce0
A 176d 3dd8 4cdc
A 176e 3db4 4cdc
A 176f 3dcc 4ce8
A 1770 3db4 4ce0
A 1771 3dc0 4cdc
A 1772 3dbc 4ce0
A 1773 3dc0 4ce0
A 1774 3dc8 4ce0
A 1775 3dbc 4ce0
A 1776 3db8 4cdc
A 1777 3dcc 4cd8
A 1778 3dc4 4cd8
A 1779 3dd0 4ce4
A 177a 3dbc 4ce4
A 177b 3ddc 4cdc
A 177c 3db4 4cdc
A 177d 3db8 4ce4
A 177e 3db0 4ce0
A 177f 3db4 4cdc
A 1780 3dc0 4ce0
A 1781 3dc0 4cdc
T 1781 1d2c 611c
D 1781 0864 000c
A 1782 3dc4 4cd4
A 1783 3dc8 4cdc
A 1784 3db8 4ce0
A 1785 3dac 4ce8
A 1786 3db8 4ce4
A 1787 3dbc 4cdc
A 1788 3db0 4cdc
A 1789 3dc4 4ce0
A 178a 3db0 4ce4
A 178b 3db0 4ce0
A 178c 3dbc 4cd8
A 178d 3dbc 4cd8
A 178e 3dd4 4ce4
A 178f 3dc4 4ce0
A 1790 3dc0 4ce0
A 1791 3dc0 4cdc
A 1792 3dbc 4ce0
A 1793 3dbc 4ce0
A 1794 3dcc 4ce4
A 1795 3dc4 4ce4
A 1796 3dd0 4cd8
A 1797 3dc0 4cdc
A 1798 3dc0 4ce0
A 1799 3dbc 4ce0
A 179a 3dcc 4cdc
A 179b 3dc4 4cdc
A 179c 3dc4 4ce0
A 179d 3db8 4ce0
A 179e 3db8 4ce0
A 179f 3db4 4ce0
A 17a0 3dc4 4cdc
A 17a1 3dc4 4cd4
A 17a2 3db4 4cdc
A 17a3 3dd8 4ce0
A 17a4 3db4 4ce4
A 17a5 3db4 4ce0
A 17a6 3db8 4cdc
A 17a7 3dc0 4ce0
A 17a8 3dd4 4ce0
A 17a9 3dd0 4ce0
A 17aa 3dac 4ce4
A 17ab 3dc8 4cd8
A 17ac 3dc4 4ce0
A 17ad 3dbc 4ce4
A 17ae 3db4 4ce0
A 17af 3dcc 4ce0
A 17b0 3db8 4ce0
A 17b1 3dbc 4ce4
A 17b2 3dbc 4ce0
A 17b3 3dc4 4ce0
A 17b4 3dc4 4cdc
A 17b5 3dd0 4cd4
A 17b6 3dd0 4cdc
A 17b7 3dd4 4ce0
A 17b8 3dcc 4ce0
A 17b9 3dd0 4ce0
A 17ba 3dc4 4ce0
A 17bb 3da8 4ce0
A 17bc 3db4 4ce0
A 17bd 3dc0 4cdc
A 17be 3dc8 4ce4
A 17bf 3dc0 4cdc
A 17c0 3dc0 4cd4
A 17c1 3dcc 4cd8
A 17c2 3dc4 4ce0
A 17c3 3dc8 4ce8
A 17c4 3dcc 4cdc
A 17c5 3dc8 4cdc
A 17c6 3dc8 4cdc
A 17c7 3db8 4ce0
A 17c8 3dbc 4ce4
A 17c9 3dc8 4ce0
A 17ca 3dbc 4cdc
A 17cb 3dc0 4cdc
A 17cc 3db4 4ce0
A 17cd 3dbc 4cdc
A 17ce 3db4 4cdc
A 17cf 3dc8 4cdc
A 17d0 3dc0 4ce0
A 17d1 3db0 4ce0
A 17d2 3dc4 4ce4
A 17d3 3dc8 4ce0
A 17d4 3dc4 4cd4
A 17d5 3dd0 4cd8
A 17d6 3dc0 4ce0
A 17d7 3dcc 4ce4
A 17d8 3dbc 4ce0
A 17d9 3db8 4cd8
A 17da 3dd8 4ce0
A 17db 3dd0 4ce0
A 17dc 3dd8 4ce0
A 17dd 3dc8 4ce0
A 17de 3dd0 4cdc
A 17df 3dd4 4cd4
A 17e0 3dc4 4cd8
A 17e1 3dd4 4ce0
A 17e2 3dbc 4ce4
A 17e3 3dc0 4ce0
A 17e4 3dc8 4ce0
A 17e5 3dbc 4ce0
A 17e6 3dcc 4ce0
A 17e7 3dbc 4ce4
A 17e8 3dc0 4cdc
A 17e9 3dc0 4cd8
A 17ea 3dd4 4cdc
A 17eb 3dac 4ce4
A 17ec 3dbc 4cdc
A 17ed 3dcc 4ce0
A 17ee 3dc4 4cdc
A 17ef 3dd0 4ce0
A 17f0 3dc4 4cdc
A 17f1 3db4 4ce0
A 17f2 3dc8 4cdc
A 17f3 3dc8 4cdc
A 17f4 3dc4 4cdc
A 17f5 3dbc 4ce4
A 17f6 3dc4 4ce0
A 17f7 3dc4 4ce0
A 17f8 3dc8 4cdc
A 17f9 3dbc 4ce0
A 17fa 3dc8 4ce0
A 17fb 3dc0 4ce0
A 17fc 3dc0 4ce4
A 17fd 3d9c 4ce0
A 17fe 3dc4 4cd8
A 17ff 3db8 4cd8
A 1800 3dc0 4ce4
A 1801 3dbc 4ce0
T 1801 1d28 6124
D 1801 0864 000c
A 1802 3dc8 4ce0
A 1803 3dcc 4ce0
A 1804 3dcc 4cdc
A 1805 3dcc 4ce0
A 1806 3db4 4ce0
A 1807 3dc4 4cdc
A 1808 3dbc 4cd8
A 1809 3dd0 4cd8
A 180a 3dc0 4ce0
A 180b 3dc8 4ce0
A 180c 3db4 4ce0
A 180d 3dbc 4ce0
A 180e 3db0 4cdc
A 180f 3db0 4cdc
A 1810 3da8 4ce0
A 1811 3dbc 4cdc
A 1812 3dc0 4ce0
A 1813 3dc0 4cdc
A 1814 3dbc 4ce0
A 1815 3dc0 4ce0
A 1816 3db8 4cdc
A 1817 3dc0 4cdc
A 1818 3dd0 4ce0
A 1819 3ddc 4ce4
A 181a 3dd4 4ce0
A 181b 3dc0 4ce4
A 181c 3dc0 4ce0
A 181d 3dc8 4cd4
A 181e 3dcc 4cd8
A 181f 3dc4 4ce4
A 1820 3dc4 4ce0
A 1821 3dd4 4ce0
A 1822 3db0 4ce0
A 1823 3dac 4ce0
A 1824 3da8 4ce4
A 1825 3dc8 4ce0
A 1826 3dc0 4cd8
A 1827 3dc8 4cd8
A 1828 3dcc 4cdc
A 1829 3dcc 4ce0
A 182a 3dcc 4ce4
A 182b 3dd0 4ce0
A 182c 3dbc 4cdc
A 182d 3dbc 4ce4
A 182e 3dbc 4cdc
A 182f 3db8 4ce0
A 1830 3db4 4cdc
A 1831 3dbc 4cd8
A 1832 3dd0 4cd8
A 1833 3dcc 4ce0
A 1834 3db4 4ce0
A 1835 3db8 4cdc
A 1836 3dbc 4ce4
A 1837 3db4 4ce0
A 1838 3dcc 4ce0
A 1839 3dc8 4ce0
A 183a 3dc0 4ce0
A 183b 3dc4 4cdc
A 183c 3dbc 4cd4
A 183d 3dd8 4cd8
A 183e 3dc0 4ce8
A 183f 3dbc 4ce0
A 1840 3db0 4ce0
A 1841 3db0 4ce0
A 1842 3dd0 4cdc
A 1843 3dc0 4cdc
A 1844 3dcc 4ce4
A 1845 3dc4 4ce0
A 1846 3db8 4cd8
A 1847 3dc0 4cdc
A 1848 3dbc 4ce0
A 1849 3dc4 4ce0
A 184a 3db0 4ce0
A 184b 3db8 4cdc
A 184c 3dc8 4ce0
A 184d 3db8 4ce0
A 184e 3db8 4ce4
A 184f 3db8 4cdc
A 1850 3dc8 4cd8
A 1851 3db8 4ce0
A 1852 3db8 4ce0
A 1853 3dc0 4ce0
A 1854 3dc8 4ce0
A 1855 3dbc 4cdc
A 1856 3dbc 4ce0
A 1857 3db8 4ce0
A 1858 3dd0 4cdc
A 1859 3dc0 4ce0
A 185a 3dc4 4cdc
A 185b 3db4 4cd4
A 185c 3dc0 4cdc
A 185d 3db0 4ce0
A 185e 3dc4 4ce0
A 185f 3dc0 4ce4
A 1860 3dc0 4ce4
A 1861 3db8 4cdc
A 1862 3dd0 4ce4
A 1863 3dc0 4ce0
A 1864 3dc4 4cdc
A 1865 3db8 4cdc
A 1866 3dc0 4cdc
A 1867 3dbc 4ce0
A 1868 3dbc 4ce4
A 1869 3dcc 4cd8
A 186a 3db8 4cdc
A 186b 3da8 4cdc
A 186c 3dc8 4cdc
A 186d 3dac 4ce4
A 186e 3db4 4ce0
A 186f 3dc4 4cd8
A 1870 3dc4 4cd8
A 1871 3da0 4ce0
A 1872 3dc0 4ce4
A 1873 3db8 4ce0
A 1874 3dd0 4ce0
A 1875 3dac 4ce0
A 1876 3dbc 4ce0
A 1877 3dc8 4ce0
A 1878 3dc4 4ce0
A 1879 3dd0 4cdc
A 187a 3dc4 4cd4
A 187b 3dc0 4cdc
A 187c 3db4 4ce4
A 187d 3dc8 4ce4
A 187e 3db4 4ce4
A 187f 3db4 4ce4
A 1880 3db8 4cdc
A 1881 3dbc 4ce4
T 1881 1d2c 6120
D 1881 0868 000c
A 1882 3dcc 4ce0
A 1883 3dc0 4cdc
A 1884 3db8 4cd8
A 1885 3dc0 4cd8
A 1886 3dbc 4ce4
A 1887 3da8 4ce0
A 1888 3dbc 4cdc
A 1889 3db4 4cdc
A 188a 3db8 4ce0
A 188b 3db0 4ce0
A 188c 3dc8 4ce0
A 188d 3dc4 4cdc
A 188e 3dc4 4cdc
A 188f 3dcc 4cdc
A 1890 3db4 4cdc
A 1891 3da8 4ce0
A 1892 3dc0 4cdc
A 1893 3dbc 4ce0
A 1894 3db0 4ce0
A 1895 3dd0 4ce0
A 1896 3dc4 4ce0
A 1897 3dc0 4ce0
A 1898 3dc4 4cdc
A 1899 3dc4 4cd8
A 189a 3dd0 4cd8
A 189b 3dc4 4ce4
A 189c 3dc8 4ce4
A 189d 3dc8 4ce4
A 189e 3dc4 4cdc
A 189f 3db8 4cdc
A 18a0 3db0 4ce0
A 18a1 3db4 4ce4
A 18a2 3db4 4cdc
A 18a3 3db4 4cd8
A 18a4 3dbc 4cdc
A 18a5 3dc4 4ce0
A 18a6 3dc4 4ce0
A 18a7 3dc0 4cdc
A 18a8 3dc0 4cdc
A 18a9 3dc0 4cdc
A 18aa 3dac 4ce0
A 18ab 3dd0 4ce0
A 18ac 3db4 4ce0
A 18ad 3dcc 4cdc
A 18ae 3dc4 4cdc
A 18af 3dbc 4ce0
A 18b0 3dcc 4ce4
A 18b1 3db0 4cdc
A 18b2 3dd8 4cd8
A 18b3 3dbc 4ce4
A 18b4 3dcc 4ce4
A 18b5 3dc8 4ce4
A 18b6 3dc4 4ce4
A 18b7 3dcc 4ce0
A 18b8 3dc0 4cd8
A 18b9 3de0 4cd8
A 18ba 3dc8 4ce0
A 18bb 3dd8 4ce0
A 18bc 3dc8 4ce0
A 18bd 3db0 4ce0
A 18be 3dbc 4ce0
A 18bf 3dcc 4cdc
A 18c0 3dc4 4ce4
A 18c1 3dcc 4ce0
A 18c2 3dcc 4cd8
A 18c3 3dcc 4cd8
A 18c4 3dc4 4ce0
A 18c5 3dbc 4ce0
A 18c6 3dc8 4cdc
A 18c7 3dc4 4cdc
A 18c8 3dcc 4ce0
A 18c9 3dc8 4ce4
A 18ca 3dc4 4ce4
A 18cb 3dc8 4ce0
A 18cc 3dc4 4cdc
A 18cd 3dc4 4cdc
A 18ce 3dd0 4cdc
A 18cf 3dd8 4ce0
A 18d0 3dcc 4ce0
A 18d1 3db8 4ce0
A 18d2 3db4 4ce0
A 18d3 3dd4 4ce4
A 18d4 3dc0 4ce4
A 18d5 3dd8 4cdc
A 18d6 3dd4 4cdc
A 18d7 3dc0 4cd8
A 18d8 3dc8 4cd8
A 18d9 3dc0 4ce4
A 18da 3dd0 4cdc
A 18db 3dd8 4ce0
A 18dc 3dd4 4ce0
A 18dd 3de0 4cdc
A 18de 3dc0 4ce0
A 18df 3dcc 4ce4
A 18e0 3dd4 4cdc
A 18e1 3dc4 4cd8
A 18e2 3dd0 4cdc
A 18e3 3dd8 4ce0
A 18e4 3dc4 4cdc
A 18e5 3db8 4cdc
A 18e6 3dc4 4ce0
A 18e7 3dc0 4ce0
A 18e8 3dc4 4ce0
A 18e9 3dd0 4ce4
A 18ea 3dc4 4ce0
A 18eb 3dc8 4cd8
A 18ec 3da8 4cdc
A 18ed 3db4 4ce4
A 18ee 3dbc 4ce0
A 18ef 3db4 4ce0
A 18f0 3dc8 4ce0
A 18f1 3dc8 4ce0
A 18f2 3dc0 4ce4
A 18f3 3dc8 4ce0
A 18f4 3dac 4ce4
A 18f5 3dc0 4cdc
A 18f6 3dd0 4cd4
A 18f7 3dc0 4cd8
A 18f8 3dc8 4ce0
A 18f9 3dc4 4ce4
A 18fa 3db8 4ce0
A 18fb 3dc0 4ce0
A 18fc 3dcc 4cdc
A 18fd 3ddc 4ce0
A 18fe 3dcc 4ce0
A 18ff 3dbc 4ce4
A 1900 3dc8 4cd8
A 1901 3db8 4cdc
T 1901 1d2c 611c
D 1901 0868 0008
A 1902 3dbc 4ce4
A 1903 3dc8 4ce0
A 1904 3dcc 4ce0
A 1905 3dcc 4ce0
A 1906 3dc0 4ce4
A 1907 3dc8 4ce4
A 1908 3db4 4ce4
A 1909 3dc8 4cdc
A 190a 3dbc 4cd8
A 190b 3dc8 4cd8
A 190c 3db8 4cdc
A 190d 3dc0 4ce4
A 190e 3dcc 4ce0
A 190f 3dc8 4cdc
A 1910 3db4 4ce4
A 1911 3dc0 4cdc
A 1912 3dd8 4ce4
A 1913 3dbc 4ce4
A 1914 3dc8 4cdc
A 1915 3dac 4cd4
A 1916 3dc0 4cdc
A 1917 3dc8 4ce0
A 1918 3db8 4ce4
