Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
A 564b 3dc4 49d0
A 564c 3da4 49c8
A 564d 3d7c 49cc
A 564e 3de4 49d0
A 564f 3d80 49d4
A 5650 3dc8 49cc
A 5651 3de0 49c0
A 5652 3d4c 49d0
A 5653 3dc0 49d0
A 5654 3da8 49d0
A 5655 2998 4a00
A 5656 3354 49b4
A 5657 322c 49cc
A 5658 3354 49d0
A 5659 3330 49c4
A 565a 33a4 49c8
S 5663 0004 0000
A 565b 33a4 49c8
A 565c 3380 49d0
A 565d 331c 49d8
A 565e 34a8 49c0
A 565f 3370 49c8
A 5660 325c 49c0
A 5661 321c 49d8
A 5662 3210 49c0
A 5663 3238 49cc
A 5664 3238 49b8
A 5665 3210 49c4
A 5666 3240 49bc
A 5667 3234 49c8
A 5668 31c4 49bc
A 5669 318c 49c8
A 566a 3178 49c4
A 566b 319c 49c4
A 566c 3184 49c0
A 566d 3178 49bc
A 566e 3180 49bc
A 566f 3174 49bc
A 5670 3148 49c0
A 5671 316c 49b8
A 5672 3184 49c4
A 5673 318c 49b8
A 5674 316c 49bc
A 5675 317c 49a8
A 5676 3174 49c0
A 5677 3190 49a8
A 5678 31a4 49bc
A 5679 3180 49a8
A 567a 318c 49b0
A 567b 3194 49a0
A 567c 3194 49b4
A 567d 3190 49b0
A 567e 3198 49b0
A 567f 3194 499c
A 5680 3180 49a8
A 5681 317c 49a4
T 5681 19f4 60a4
D 5681 085c 0008
A 5682 3194 49a8
A 5683 3170 499c
A 5684 3178 4998
A 5685 3180 49a4
A 5686 318c 4994
A 5687 3168 49a4
A 5688 31c8 4990
A 5689 31f8 49a0
A 568a 31bc 4988
A 568b 31c8 49a0
A 568c 31a4 4990
A 568d 3198 499c
A 568e 318c 4980
A 568f 3174 4990
A 5690 3190 4988
A 5691 3178 4990
A 5692 318c 4980
A 5693 3168 4984
A 5694 319c 497c
A 5695 3168 4980
A 5696 3168 497c
A 5697 3150 497c
A 5698 3158 4978
A 5699 314c 4978
A 569a 315c 4970
A 569b 3148 4978
A 569c 311c 4970
A 569d 3108 496c
A 569e 30fc 4970
A 569f 3118 4974
A 56a0 3144 4974
A 56a1 313c 4964
A 56a2 314c 495c
A 56a3 3160 4954
A 56a4 3168 4958
A 56a5 316c 4958
A 56a6 3178 4958
A 56a7 3168 4954
A 56a8 3160 494c
A 56a9 3168 4950
A 56aa 3170 494c
A 56ab 3180 4950
A 56ac 3180 4940
A 56ad 31a0 4940
A 56ae 31bc 4934
A 56af 31c0 4940
A 56b0 3174 4930
A 56b1 3168 493c
A 56b2 3170 492c
A 56b3 3180 4930
A 56b4 31a4 492c
A 56b5 3198 4934
A 56b6 31b0 4924
A 56b7 3198 4924
A 56b8 3198 4910
A 56b9 3188 4918
A 56ba 3198 4914
A 56bb 319c 4910
A 56bc 317c 490c
A 56bd 31bc 4904
A 56be 31a4 4904
A 56bf 31b0 4904
A 56c0 318c 4900
A 56c1 3144 48fc
A 56c2 313c 48f0
A 56c3 3150 48ec
A 56c4 316c 48f4
A 56c5 31bc 48ec
A 56c6 3238 48e0
A 56c7 3248 48e4
A 56c8 3248 48e0
A 56c9 3278 48dc
A 56ca 32c4 48d8
A 56cb 32e0 48dc
A 56cc 3320 48d4
A 56cd 3324 48cc
A 56ce 3334 48cc
A 56cf 3368 48c8
A 56d0 33a0 48cc
A 56d1 33dc 48b8
A 56d2 33f8 48c4
A 56d3 3418 48b0
A 56d4 344c 48bc
A 56d5 3448 48a0
A 56d6 3430 48a8
A 56d7 3444 4894
A 56d8 345c 48a0
A 56d9 3464 4894
A 56da 3498 4898
A 56db 34ac 4888
A 56dc 34cc 4890
A 56dd 34ec 487c
A 56de 3534 487c
A 56df 3520 4878
A 56e0 354c 4878
A 56e1 357c 4874
A 56e2 3594 4864
A 56e3 3590 4870
A 56e4 35c8 4868
A 56e5 35d8 485c
A 56e6 35f0 485c
A 56e7 35e8 4854
A 56e8 361c 4858
A 56e9 3640 4854
A 56ea 366c 4850
A 56eb 36b4 4844
A 56ec 36fc 483c
A 56ed 375c 483c
A 56ee 37c8 483c
A 56ef 3824 4838
A 56f0 3850 482c
A 56f1 38b8 482c
A 56f2 3918 4828
A 56f3 39ac 4824
A 56f4 3a1c 4824
A 56f5 3a70 481c
A 56f6 3adc 4814
A 56f7 3b48 4814
A 56f8 3bac 4818
A 56f9 3bcc 4824
A 56fa 3c2c 4810
A 56fb 3c5c 4820
A 56fc 3cb4 4810
A 56fd 3cf0 4820
A 56fe 3d00 480c
A 56ff 3d40 4818
A 5700 3d84 4800
A 5701 3dbc 4808
T 5701 19f4 60a4
D 5701 085c 0008
A 5702 3e08 47f8
A 5703 3e30 4804
A 5704 3e5c 47f4
A 5705 3e8c 47f8
A 5706 3eac 47f4
A 5707 3ec0 47f0
A 5708 3ed8 47ec
A 5709 3ee0 47e0
A 570a 3f14 47e0
A 570b 3f24 47cc
A 570c 3f3c 47d4
A 570d 3f20 47d4
A 570e 3f38 47d4
A 570f 3f4c 47d0
A 5710 3f70 47d8
A 5711 3f80 47e0
A 5712 3f88 47dc
A 5713 3f7c 47e0
A 5714 3f7c 47d8
A 5715 3f7c 47dc
A 5716 3f80 47e0
A 5717 3f74 47dc
A 5718 3f90 47d4
A 5719 3f70 47cc
A 571a 3f7c 47cc
A 571b 3f80 47cc
A 571c 3f78 47c8
A 571d 3f98 47c4
A 571e 3f78 47b8
A 571f 3f84 47b8
A 5720 3f88 47bc
A 5721 3f8c 47bc
A 5722 3f88 47b4
A 5723 3f88 47b0
A 5724 3f90 47ac
A 5725 3f78 47ac
A 5726 3f94 47a8
A 5727 3f84 47a4
A 5728 3f98 47a4
A 5729 3f90 4790
A 572a 3f88 4790
A 572b 3f94 4794
A 572c 3f7c 4794
A 572d 3f84 4784
A 572e 3f90 477c
A 572f 3f7c 477c
A 5730 3f6c 4774
A 5731 3f70 4774
A 5732 3f68 476c
A 5733 3f74 4764
A 5734 3f68 4764
A 5735 3f60 475c
A 5736 3f7c 4760
A 5737 3f68 4758
A 5738 3f6c 4754
A 5739 3f68 474c
A 573a 3f74 4748
A 573b 3f74 4744
A 573c 3f68 4744
A 573d 3f68 4740
A 573e 3f68 4734
A 573f 3f74 4730
A 5740 3f68 4730
A 5741 3f78 472c
A 5742 3f60 4724
A 5743 3f64 4720
A 5744 3f74 471c
A 5745 3f78 4718
A 5746 3f7c 4710
A 5747 3f6c 4708
A 5748 3f68 4708
A 5749 3f60 46f8
A 574a 3f68 4704
A 574b 3f54 46f4
A 574c 3f54 46f8
A 574d 3f58 46e8
A 574e 3f5c 46f4
A 574f 3f4c 46dc
A 5750 3f6c 46f0
A 5751 3f68 46d4
A 5752 3f64 46e4
A 5753 3f44 46d0
A 5754 3f50 46d4
A 5755 3f74 46c8
A 5756 3f68 46cc
A 5757 3f6c 46c0
A 5758 3f70 46c4
A 5759 3f70 46bc
A 575a 3f70 46b8
A 575b 3f74 46b8
A 575c 3f60 46a8
A 575d 3f6c 46ac
A 575e 3f64 469c
A 575f 3f64 46ac
A 5760 3f6c 46a0
A 5761 3f70 46b0
